exp	라운드	task_cell	arm(연산자)	layer	dose	n	base_SR	Δ판	위약Δ	p	판정	데이터	출처
exp2	scene고정 held-out	ppcc_bread_84	gated_per_scene conceptor fit15	L?	β(α혼재)	60	0.78	-2	+2	-	null	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcc_bread_s300028	gated_per_scene conceptor fit15	L?	β	60	0.83	+2	0	-	null	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcc_bread_s300033	gated_per_scene conceptor fit15	L?	β	60	0.42	+8	+8	-	위약동률	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcc_bread_s400020	gated_per_scene conceptor fit15	L?	β	60	0.35	-1	-1	-	null	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcs_apple_74	gated_per_scene conceptor fit15	L?	β	60	0.70	-2	+1	-	null	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcs_apple_s100353	gated_per_scene conceptor fit15	L?	β	60	0.87	+1	-3	-	null(vs위약+4)	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcs_apple_s100395	gated_per_scene conceptor fit15	L?	β	60	0.80	+2	+1	-	null	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	ppcs_apple_s100422	gated_per_scene conceptor fit15	L?	β	60	0.97	-2	-3	-	null(천장)	steer_eval_exp2/aggregate_v2	23
exp2	scene고정 held-out	8cell pooled	gated_per_scene conceptor	-	-	480	-	+6	-	-	δ=+7.5%p 미달	steer_eval_exp2/aggregate_v2	23
exp2	scene고정	8cell	positive-only (대조 없음)	-	-	-	-	-16~-13	-	-	해악	steer_eval_exp2/aggregate_v2	23
exp2	scene고정	8cell	cross_scene conceptor	-	-	-	-	0~음수	-	-	null(공유방향 없음)	steer_eval_exp2/aggregate_v2	23
exp3	fit15 사전등록	drawer	perm conceptor (H1 vs base)	L0	β	60	-	+1	+3	.50/adj 1.0	null	steer_eval_exp3/aggregate_f	21
exp3	fit15 사전등록	drawer	gated conceptor (H2 vs base)	L0	β	60	-	+4	+3	.24/adj 1.0	null	steer_eval_exp3/aggregate_f	21
exp3	fit15 사전등록	ppcc	perm conceptor (H1 vs base)	L15	β	90	-	+4	+1	.23/adj 1.0	null	steer_eval_exp3/aggregate_f	21
exp3	fit15 사전등록	ppcc	gated conceptor (H2 vs base)	L15	β	90	-	-1	+1	.68/adj 1.0	null	steer_eval_exp3/aggregate_f	21
exp3	fit15 탐색	drawer	gated within-instruction	L0	β	60	-	+6 (7W/1L)	+3	미보정	약신호	steer_eval_exp3/aggregate_f	21
exp3	fit15 탐색	ppcc	gated within-instruction	L15	β	90	-	+2 (8W/6L)	+1	미보정	비재현	steer_eval_exp3/aggregate_f	21
exp3	fit30 사전등록	drawer	perm conceptor (H1)	L0	β	120	-	+7	+6	.072/adj .43	null(관문위반)	steer_eval_exp3/aggregate_f30	22
exp3	fit30 사전등록	drawer	gated conceptor (H2)	L0	β	120	-	+5	+6	.151/adj .75	null	steer_eval_exp3/aggregate_f30	22
